modelo,tipo,inicio_teste,meses_teste,MAE,RMSE,MAPE_pct
media_movel_12m,baseline,2019-01,12,9968717.863680555,10888251.02191722,3.801531196425039
sazonal_ingenuo_12m,baseline,2019-01,12,11080619.154999996,12323134.948919823,4.225777800193997
tendencia_linear,baseline,2019-01,12,7063554.510568415,9673799.102765208,2.805401968496149
regressao_linear,aprendizagem,2019-01,12,7566392.910290199,9847997.541003997,2.9558916303573506
ridge,aprendizagem,2019-01,12,6679690.791875211,7346815.372399418,2.594632147620821
random_forest,aprendizagem,2019-01,12,9662869.517850751,11155843.21645363,3.6498838960213837
gradient_boosting,aprendizagem,2019-01,12,9061069.141256288,10071635.98514655,3.437624647581111
media_movel_12m,baseline,2020-01,12,5820778.652569446,7107176.924599768,2.1458535326803725
sazonal_ingenuo_12m,baseline,2020-01,12,10154876.964999998,11916052.41230239,3.785645195082716
tendencia_linear,baseline,2020-01,12,7775119.2051193,9669015.226536524,2.927487120117501
regressao_linear,aprendizagem,2020-01,12,4900395.633841719,6097187.809786723,1.830532656381513
ridge,aprendizagem,2020-01,12,3784761.7272786894,5101757.1580470335,1.40899380360242
random_forest,aprendizagem,2020-01,12,5008901.665640098,6186653.452672528,1.8525081739191744
gradient_boosting,aprendizagem,2020-01,12,5352914.13857092,6128339.82113217,1.9980909769766562
media_movel_12m,baseline,2021-01,12,5666619.974930567,8102069.75702735,2.1250259023076894
sazonal_ingenuo_12m,baseline,2021-01,12,4860575.4300000025,6134003.478157441,1.8113944268984445
tendencia_linear,baseline,2021-01,12,16945400.408236705,18381983.363047108,6.377792905023888
regressao_linear,aprendizagem,2021-01,12,17090209.693056382,17947300.436896034,6.391628428451547
ridge,aprendizagem,2021-01,12,6373615.589925376,8295494.977838211,2.42150963486516
random_forest,aprendizagem,2021-01,12,5895216.520025159,7645984.745971905,2.21953453936326
gradient_boosting,aprendizagem,2021-01,12,4931565.812021159,7050433.988706837,1.8659109792577062
media_movel_12m,baseline,2022-01,12,22886629.096319422,24693189.991522465,7.376504850288285
sazonal_ingenuo_12m,baseline,2022-01,12,40146632.97916666,40661323.869265266,12.955581386144402
tendencia_linear,baseline,2022-01,12,20624139.352613524,21785452.33943817,6.6044205243052225
regressao_linear,aprendizagem,2022-01,12,24965853.275364097,25947891.332407083,8.089809397357966
ridge,aprendizagem,2022-01,12,11490588.51146561,14409118.297033146,3.6888731169475117
random_forest,aprendizagem,2022-01,12,40321211.77195761,41416298.4359617,12.958084415040613
gradient_boosting,aprendizagem,2022-01,12,46939644.00712349,47686262.3095778,15.118057869985261
media_movel_12m,baseline,2023-01,12,24454018.68472222,27590878.065560725,6.981223350136815
sazonal_ingenuo_12m,baseline,2023-01,12,30992151.34166667,35241175.815344,8.826425539219063
tendencia_linear,baseline,2023-01,12,31532379.576987952,36612916.92316507,8.93318888131404
regressao_linear,aprendizagem,2023-01,12,9123943.54742688,10971240.015319582,2.7554428633083297
ridge,aprendizagem,2023-01,12,10043998.308253959,12023758.78760102,3.000206839780863
random_forest,aprendizagem,2023-01,12,29658544.74113896,34995201.39253899,8.410307498166409
gradient_boosting,aprendizagem,2023-01,12,26360651.223763566,31542788.79965191,7.489525872919378
media_movel_12m,baseline,2024-01,12,17928082.691041667,20311757.040515356,4.699955493907642
sazonal_ingenuo_12m,baseline,2024-01,12,38558905.14666667,42827938.56058894,10.230928343503502
tendencia_linear,baseline,2024-01,12,41996863.38279281,43363435.73013685,11.014357966890287
regressao_linear,aprendizagem,2024-01,12,9773731.90073813,11991718.938354762,2.606030971844381
ridge,aprendizagem,2024-01,12,8467419.581069091,10369216.551394118,2.2683912419467878
random_forest,aprendizagem,2024-01,12,19568416.185694564,22714194.190635398,5.073254945293293
gradient_boosting,aprendizagem,2024-01,12,14813116.319494858,17135352.40576546,3.851572902841801
media_movel_12m,baseline,2025-01,12,14477524.515486112,16011294.043050926,3.6563333820864297
sazonal_ingenuo_12m,baseline,2025-01,12,15042109.184999993,17251897.199683584,3.780497844456348
tendencia_linear,baseline,2025-01,12,25670012.159623828,28609986.38298685,6.414684393799025
regressao_linear,aprendizagem,2025-01,12,7576389.585726093,10233482.403063789,1.9779496590330348
ridge,aprendizagem,2025-01,12,9066051.90997321,12399598.19728001,2.3631216467124494
random_forest,aprendizagem,2025-01,12,14323355.863369226,17274180.885130163,3.613949374954359
gradient_boosting,aprendizagem,2025-01,12,11424417.648941085,14164364.661063818,2.8750110782241967
