cod_procedimento,nome_procedimento,total,2015,2016,2017,2018,2019,2020,2021,2022,2023
0305010107,HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA),1224047062.64,104143899.36,106793885.9,120761760.8,125790293.3,131899086.4,136655432.8,139510172.8,166826680.01,191665851.27
0305010115,HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S,64516214.32,3970002.78,7240042.68,7253478.31,7175070.15,7402550.31,7464921.66,7537113.18,7918507.35,8554527.9
0305010093,HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE),31135827.34,2743813.78,2900286.0,3044458.23,2872023.8,3135747.4,3430543.0,3522982.2,4620227.87,4865745.06
0418010030,CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE,8127187.2,866400.0,823800.0,822000.0,828000.0,892800.0,730800.0,774000.0,961396.8,1427990.4
0418010064,IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE,2912737.31,324499.62,323225.71,352988.88,318477.5,318130.07,282692.21,284429.36,342681.79,365612.17
0702100013,CATETER DE LONGA PERMANENCIA P/ HEMODIALISE,2814453.9,183289.2,229111.5,242617.02,307732.92,329920.56,382495.62,390213.06,372848.82,376225.2
0305010204,HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA),2640887.67,215866.8,358126.56,102271.32,285935.04,327339.0,383959.8,503925.12,209850.84,253613.19
0702100021,CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE,1622432.28,180745.16,179709.0,193956.2,177895.72,177895.72,157755.36,158856.28,191430.56,204188.28
0418010048,IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE,1176400.0,78000.0,97000.0,100000.0,128600.0,137200.0,160000.0,163600.0,155200.0,156800.0
0305010220,COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE,1110804.79,0.0,0.0,0.0,0.0,0.0,617889.17,401339.56,89867.02,1709.04
0305010123,HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL,1044165.69,96343.83,138809.43,106694.82,67148.73,112003.02,120496.14,133766.64,135624.51,133278.57
0305010026,DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA),63306.71,15067.24,9356.27,7412.11,4009.83,11786.47,12515.53,3159.26,0.0,0.0
0305010018,DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE),24591.48,5356.56,608.7,3652.2,1947.84,5113.08,6452.22,1460.88,0.0,0.0
0305010182,TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS),5733.52,2811.63,275.65,661.56,385.91,330.78,496.17,330.78,441.04,0.0
